Year;Sort;Destination;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong SAR;China, Macao SAR;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Cªte d'Ivoire;Croatia;Cuba;Curaçao;Cyprus;Czechia;Dem. People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Fed. States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R_union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;TFYR Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
2010;2010059;Benin;209,267;2,094;29,719;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8,483;..;..;..;..;..;..;..;..;596;..;..;..;..;..;..;..;1,629;..;..;11,719;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,532;..;..;..;..;..;..;8,708;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,100;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64,618;38,036;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41,033;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010060;Burkina Faso;673,904;12,416;31,893;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,996;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;517,165;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;30,810;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41,902;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12,200;4,944;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,857;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14,721;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010061;Cabo Verde;14,373;195;1,257;..;..;..;..;..;356;..;..;4;..;..;..;..;..;..;..;..;..;..;10;..;..;..;..;..;..;..;275;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;22;..;..;..;..;..;..;..;7;..;82;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;194;..;..;8;5;..;65;40;..;..;..;..;..;..;..;398;4,829;..;..;..;..;..;..;..;..;..;..;..;..;..;392;..;1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4;..;..;..;..;7;..;..;..;..;..;..;3;..;..;..;..;..;..;25;..;..;..;..;36;..;..;..;..;645;..;..;..;..;..;..;..;..;..;3;..;..;1,116;..;..;..;..;..;..;672;..;..;..;..;..;..;..;..;1,649;..;1,423;..;..;14;..;..;..;..;..;..;..;..;138;..;..;..;..;..;..;13;..;..;..;..;8;..;..;..;..;..;..;..;..;..;..;21;..;50;..;338;68;..;..;..;..;..;..;..;..;..;..
2010;2010062;Cªte d'Ivoire;2,095,185;37,256;39,625;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;52,074;..;..;..;..;..;..;..;..;..;1,246,597;..;281;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;42;..;..;41,173;..;..;..;..;..;..;..;91,478;317;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79,389;3,530;..;..;..;..;..;..;..;342,891;..;..;..;7,702;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;47,947;37,482;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18,294;..;..;635;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;48,472;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010063;Gambia;185,763;1,797;3,594;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;38,965;11,899;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;853;..;..;..;..;..;..;..;..;8,929;..;..;..;3,144;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;114,333;..;..;2,249;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010064;Ghana;337,017;32,226;45,895;..;..;11;..;..;..;..;..;..;..;..;27;..;..;..;..;..;..;..;..;..;13,963;..;..;..;..;..;11;..;..;..;48,707;..;..;..;95;230;..;..;..;13;..;..;189;..;..;..;..;..;..;..;25,613;..;..;..;..;..;..;25;..;..;..;..;..;32;..;..;..;..;25;..;..;..;..;182;..;..;..;30;..;..;..;..;..;..;..;..;..;..;114;..;..;..;..;..;..;..;708;..;..;..;..;..;38;192;..;46;..;..;13;..;..;..;..;..;818;..;23,360;..;..;..;..;..;..;..;..;4,175;..;..;..;11;..;..;..;..;..;..;..;..;..;..;..;..;..;..;152;..;..;..;4,915;57,056;..;..;..;..;55;..;..;..;..;..;23;39;..;..;..;..;..;..;..;55;311;..;..;..;..;..;..;..;..;..;61;..;..;1,939;..;..;..;..;..;..;..;..;..;17;..;21;..;..;..;121;43;..;..;..;..;73,815;..;..;..;..;..;..;..;..;..;..;..;1,130;7;508;..;..;..;..;..;..;..;..;..;..;..
2010;2010065;Guinea;177,998;36,561;12,187;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81;..;928;..;..;..;..;..;97;..;..;..;698;..;37;..;..;116;..;..;..;..;..;..;81;..;..;..;..;..;..;..;12,219;..;1,875;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;648;..;..;..;319;..;..;..;..;..;..;..;..;..;..;..;5,032;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46;..;..;..;..;..;..;..;..;..;..;29,367;..;..;..;..;..;..;..;..;54,950;..;..;..;1,351;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;550;359;..;..;..;..;..;..;..;..;..;..;..;..;144;..;..;486;..;..;..;149;..;..;..;..;..;..;..;..;..;120;3,571;..;..;13,557;..;..;..;..;..;..;..;..;1,022;..;..;..;..;..;..;..;15;..;..;..;..;935;..;..;..;..;..;..;..;..;..;25;..;..;..;472;..;..;..;..;..;..;..;..;..;..;..
2010;2010066;Guinea-Bissau;21,061;558;93;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;521;..;..;54;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;104;..;..;..;1,410;..;..;..;..;..;..;..;..;..;..;4,657;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;847;..;..;..;..;..;..;..;..;..;..;..;..;527;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;776;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10,455;..;..;766;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;293;..;..;..;..;..;..;..;..;..;..;..
2010;2010067;Liberia;99,129;1,590;4,669;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25;..;..;..;..;..;..;..;..;..;221;..;..;..;..;49;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26,335;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;59;..;..;..;711;..;186;7,069;..;..;..;..;..;..;..;35,375;454;..;..;..;..;..;..;712;..;..;..;..;..;..;50;..;..;..;..;..;..;..;..;..;..;871;..;..;..;..;..;..;..;..;..;..;1,267;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60;..;..;..;226;4,922;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;342;..;..;12,578;..;..;..;..;..;..;..;..;57;..;..;..;..;..;225;30;..;..;..;..;..;365;..;..;..;..;..;..;..;..;..;..;..;230;..;451;..;..;..;..;..;..;..;..;..;..;..
2010;2010068;Mali;336,607;12,304;100,371;..;..;3,991;..;..;480;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,741;..;..;..;..;..;..;..;..;..;22,174;..;..;..;4,084;..;..;..;1,951;..;..;..;542;..;..;..;..;27,782;..;..;18,672;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16,906;..;..;30,825;4,103;..;..;17,205;..;..;..;..;..;..;..;16,464;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,047;..;..;..;..;..;..;..;..;..;..;..;..;14,446;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,540;10,975;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;661;..;..;..;..;..;..;..;..;..;..;5,099;..;..;8,475;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6,167;..;..;..;..;..;..;..;..;..;..;..;..;..;1,602;..;..;..;..;..;..;..;..;..;..;..
2010;2010069;Mauritania;84,679;56;27,669;..;..;1,627;..;..;..;..;..;66;..;..;..;..;..;..;..;..;..;..;60;..;549;..;..;..;..;..;159;..;..;..;..;..;..;..;391;50;..;..;..;51;..;..;158;..;..;..;..;..;..;..;533;..;..;..;..;..;..;137;..;..;..;..;..;224;..;..;..;..;..;..;..;..;..;..;..;..;84;..;..;..;206;..;..;..;..;..;..;..;3,100;1,198;..;..;..;..;..;..;..;..;..;135;..;..;..;54;..;..;..;..;..;..;31;..;..;..;118;..;..;138;..;..;..;..;..;..;..;7,612;..;..;..;..;..;..;..;..;..;..;..;..;341;..;..;..;..;..;..;..;..;..;150;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;69;..;..;..;60;..;..;..;..;..;..;..;..;..;304;38,381;..;..;..;..;..;..;..;..;..;..;..;84;..;160;..;..;..;..;..;139;..;..;..;..;162;..;..;..;247;..;..;..;..;..;..;68;..;..;108;..;..;..;..;..;..;..;..;..;..;..
2010;2010070;Niger;126,464;1,968;8,211;..;..;454;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;17,669;..;..;..;..;..;..;..;..;..;19,065;..;..;..;411;..;..;..;..;745;..;..;..;..;..;..;..;..;..;..;1,186;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,658;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;155;..;..;..;..;..;..;..;44,537;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;19,177;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,134;..;..;..;..;..;..;..;..;..;..;..;..;..;..;522;..;..;..;..;..;..;..;..;..;9,572;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010071;Nigeria;988,679;30,883;70,265;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;290,214;..;..;..;..;..;..;..;..;..;..;..;..;..;22,173;..;..;..;..;24,054;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;183,351;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16,936;..;..;..;..;..;..;..;..;132,718;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92,949;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,358;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;121,778;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010072;Saint Helena;569;54;40;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;101;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;374;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010073;Senegal;256,092;13,646;27,292;..;..;3,940;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,393;..;..;..;..;..;609;..;..;..;..;..;..;..;953;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,642;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;13,027;..;..;..;4,849;..;821;1,678;..;..;..;..;..;..;..;48,426;27,726;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,037;..;..;..;..;..;..;..;..;..;..;32,035;..;..;..;50,090;..;..;..;..;..;..;..;..;3,873;..;..;..;..;..;..;..;..;..;1,589;797;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,340;..;..;..;14,007;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,570;..;..;..;..;..;..;..;..;..;..;..;..;..;752;..;..;..;..;..;..;..;..;..;..;..
2010;2010074;Sierra Leone;97,452;357;613;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;240;..;..;..;..;..;..;..;..;..;31;..;1;..;..;34;..;..;..;..;..;..;258;..;..;..;..;..;..;..;67;..;..;..;..;..;3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,843;..;123;1,206;..;..;..;..;..;..;..;68,669;20;..;..;..;..;..;..;373;..;..;..;..;..;..;..;..;3;..;..;..;..;..;..;..;..;2,023;..;12,509;..;..;..;..;..;..;..;..;1,803;..;..;..;130;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;148;1,955;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11;..;..;..;68;..;..;..;..;..;..;..;..;..;..;679;..;..;..;..;..;..;..;..;..;219;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37;..;..;..;..;..;..;..;..;..;..;..;563;..;466;..;..;..;..;..;..;..;..;..;..;..
2010;2010075;Togo;255,262;733;19,417;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56;..;67,665;..;..;..;..;..;..;..;..;..;12,075;..;36;..;619;42;..;..;333;633;..;..;459;..;..;..;..;229;..;..;3,007;..;..;..;..;..;..;589;..;..;..;..;..;..;..;95;..;..;..;..;..;..;..;945;..;..;796;944;..;172;42,991;..;..;..;..;..;..;..;2,964;116;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;150;..;..;..;..;..;..;..;..;7,641;..;..;..;129;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;61,126;29,347;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;746;..;..;..;..;..;..;..;37;..;895;..;..;93;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;182;..;..;..;..;..;..;..;..;..;..;..
2010;2010076;ASIA;65,921,788;1,236,084;2,086,765;4,606,872;3,696;46,351;..;..;74;..;..;41,717;197,044;62;68,711;20,919;269,606;..;42,397;6,139,849;..;133,534;16,152;..;10;..;80,721;46;2,551;10;321,370;74;32,323;502,698;..;5;128;661,381;61;73,121;..;..;16;6,752;..;3,469;4,551,662;313,058;109,740;3,038;..;521;..;96;15;367;203;..;10,822;1,943;67,814;817;7,180;5;..;12;462;2,067,469;12;..;26,089;2,460;200,303;..;..;183;3,395;97,516;..;..;..;..;118,640;536,205;2,209;5;95,921;..;..;46;992;34;..;..;..;43;..;5;14,797;130;9,426,632;3,085,986;106,553;1,919,314;3,651;..;71,330;20,247;16;111,359;454,396;76,475;2,782;..;98,751;31,809;919,104;6,308;167,267;..;1;24,659;..;11,427;56;10;10;1,273,261;1,680;..;77;..;..;354;319;..;4,840;..;..;20,466;..;..;172,504;12;2,361,564;5;..;1,222,500;42,124;..;15,880;12;35;23,678;..;..;19,172;11,916;3,722,418;34;21;59;10;69,409;1,668,260;94,219;3,375;56;13,984;812,489;29,878;..;128,206;3,794,789;4;..;..;..;..;..;..;..;..;58,384;75;2,834;36;5;127,884;..;510;160;..;213,020;19,692;18,194;7,520;783,635;2,878,834;527,906;128;75;10,093;19,026;793,572;55,804;142,612;232,448;20,485;2;..;..;16;32,971;153,190;15,105;..;..;760;639,345;72,658;255,616;374;385,067;25;6,233;438,162;..;539;341,875;..;..;791,184;876;327
2010;2010077;Central Asia;5,262,414;27,185;60,695;8,900;..;136;..;..;..;..;..;..;24,854;..;..;68;80,017;..;..;..;..;108,552;..;..;..;..;..;..;..;..;..;..;26;4,008;..;..;..;..;..;53;..;..;..;..;..;..;2,392;..;..;..;..;..;..;..;..;..;..;..;..;..;60,091;..;137;..;..;..;..;..;..;..;..;1,696;..;..;..;..;132;..;..;..;..;..;7,476;218,362;..;..;7,377;..;..;..;..;..;..;..;..;..;..;..;..;..;644;..;4,479;67;..;..;..;..;..;..;..;48,533;..;..;..;23,175;..;2,068;..;..;..;..;..;7,125;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54;..;115;..;25;..;..;..;..;39;99;..;..;..;..;..;..;31,155;..;..;..;30,272;15,161;..;546;3,554,448;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56;..;29,313;..;..;..;..;..;..;..;..;46,090;3,379;..;..;..;483,853;..;328;..;286;25;..;368,774;..;..;122;..;..;..;26;..
2010;2010078;Kazakhstan;3,334,623;..;..;..;..;..;..;..;..;..;..;..;8,597;..;..;..;45,483;..;..;..;..;65,001;..;..;..;..;..;..;..;..;..;..;..;4,008;..;..;..;..;..;..;..;..;..;..;..;..;2,033;..;..;..;..;..;..;..;..;..;..;..;..;..;57,915;..;..;..;..;..;..;..;..;..;..;1,046;..;..;..;..;..;..;..;..;..;..;3,079;205,287;..;..;7,377;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6,331;..;1,046;..;..;..;..;..;4,124;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27,476;..;..;..;30,007;11,327;..;..;2,211,875;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14,870;..;..;..;..;..;..;..;..;44,089;987;..;..;..;317,803;..;..;..;..;..;..;264,862;..;..;..;..;..;..;..;..
2010;2010079;Kyrgyzstan;231,511;2,553;2,434;..;..;..;..;..;..;..;..;..;2,696;..;..;..;5,299;..;..;..;..;11,267;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;308;..;..;..;..;..;..;..;..;..;..;..;..;..;2,013;..;..;..;..;..;..;..;..;..;..;650;..;..;..;..;132;..;..;..;..;..;3,704;2,062;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14,657;..;..;..;..;..;1,022;..;..;..;..;..;3,001;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,639;..;..;..;265;3,013;..;546;126,580;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,498;..;..;..;..;..;..;..;..;1,191;1,134;..;..;..;30,323;..;..;..;..;..;..;10,402;..;..;122;..;..;..;..;..
2010;2010080;Tajikistan;278,152;102;201;8,900;..;136;..;..;..;..;..;..;204;..;..;68;177;..;..;..;..;710;..;..;..;..;..;..;..;..;..;..;26;..;..;..;..;..;..;53;..;..;..;..;..;..;51;..;..;..;..;..;..;..;..;..;..;..;..;..;163;..;137;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;693;141;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;644;..;1,249;67;..;..;..;..;..;..;..;876;..;..;..;11,759;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54;..;115;..;25;..;..;..;..;39;99;..;..;..;..;..;..;40;..;..;..;..;821;..;..;239,484;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56;..;..;..;..;..;..;..;..;..;..;810;466;..;..;..;1,261;..;328;..;286;25;..;7,860;..;..;..;..;..;..;26;..
2010;2010081;Turkmenistan;197,979;1,338;1,204;..;..;..;..;..;..;..;..;..;7,066;..;..;..;7,698;..;..;..;..;3,900;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,874;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,230;..;..;..;..;..;..;..;..;18,300;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;62,857;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,862;..;..;..;..;..;..;85,650;..;..;..;..;..;..;..;..
2010;2010082;Uzbekistan;1,220,149;23,192;56,856;..;..;..;..;..;..;..;..;..;6,291;..;..;..;21,360;..;..;..;..;27,674;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8,998;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14,700;..;..;..;5,085;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;913,652;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11,945;..;..;..;..;..;..;..;..;..;792;..;..;..;129,604;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
